ti 08.01.2013 1h    Aiheenvalinta
to 10.01.2013 2h    GIT opettelua, repositorion luonti ja ensimmäinen kommitti
la 12.01.2013 1h    GIT repositorion testausta kansiorakenteiden luontia
su 13.01.2013 1.5   Dokumentaation kirjoittamista
ma 14.01.2013 1h    Dokumentaation päivittämistä sekä vienti repoon
ti 15.01.2013 0.5h  Tuntikirjanpidon luonti sekä repon muokkausta ja viimeinen pushaus ennen ensimmäistä deadlineä
la 19.01.2013 3.0h  Luokkadiagrammin suunnittelua, Interfacejen luomista
su 20.01.2013 3.0h  Luokkadiagrammin suunnittelua, koodausta, testien tekoa
ti 22.01.2013 4.0h  Yleisarkkitehtuurin läpikäyntiä. Testikeissien rakentamista. Ohjelmakoodin kirjoittamista. 
ma 28.01.2013 3.0h  StateHandlerin rakentamista. Testausta.
ti 29.01.2013 5.0h  Uuden korkeantason luokkadiagrammin tekeminen 2D pelikirjaston osalta. Pelikirjaston koodausta.
ma 04.02.2013 3.5h  Pelikirjaston koodausta. Sekvenssikaavioiden suunnittelua.
ti 05.02.2013 4.5h  Sekvenssikaavioiden suunnittelua. Pelikirjaston hienoista refaktorointia sekä konkreettisten luokkien tekemistä.
